research_no,id,hotel_name,prefecture,station,jalan_url,jalan_hotel_name,verification_status,live_h1,live_title,name_similarity,prefecture_on_page,audit_status,error
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,東京都,四谷三丁目,https://www.jalan.net/yad370441/,KOKO HOTEL 新宿四谷,rebranded_current_page,KOKO HOTEL 新宿四谷の施設概要,KOKO HOTEL 新宿四谷 - 宿泊予約は＜じゃらんnet＞,0.093,True,suspect,
17,stage-006-2,ホテルウィングインターナショナル後楽園,東京都,水道橋・後楽園,https://www.jalan.net/yad317436/,KOKO HOTEL 後楽園,rebranded_current_page,KOKO HOTEL 後楽園の施設概要,KOKO HOTEL 後楽園 - 宿泊予約は＜じゃらんnet＞,0.1667,True,suspect,
20,stage-007-2,ホテルウィングインターナショナル後楽園,東京都,水道橋・後楽園,https://www.jalan.net/yad317436/,KOKO HOTEL 後楽園,rebranded_current_page,KOKO HOTEL 後楽園の施設概要,KOKO HOTEL 後楽園 - 宿泊予約は＜じゃらんnet＞,0.1667,True,suspect,
25,stage-009-1,ホテル ヴィラフォンテーヌ グランド 東京有明,東京都,有明・国際展示場,https://www.jalan.net/yad379750/,ヴィラフォンテーヌ グランド 東京有明｜住友不動産,verified_fuzzy,ヴィラフォンテーヌ グランド 東京有明｜住友不動産の施設概要,ヴィラフォンテーヌ グランド 東京有明｜住友不動産 - 宿泊予約は＜じゃらんnet＞,0.7083,True,review_name,
52,stage-018-1,ホテルヴィラフォンテーヌ東京大手町,東京都,大手町・神田,https://www.jalan.net/yad365524/,ヴィラフォンテーヌ東京大手町｜住友不動産,manual_verified,ヴィラフォンテーヌ東京大手町｜住友不動産の施設概要,ヴィラフォンテーヌ東京大手町｜住友不動産 - 宿泊予約は＜じゃらんnet＞,0.6667,True,review_name,
70,stage-024-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,manual_verified,ザ・ワンファイブ東京渋谷の施設概要,ザ・ワンファイブ東京渋谷 - 宿泊予約は＜じゃらんnet＞,0.0,True,suspect,
73,stage-025-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,manual_verified,ザ・ワンファイブ東京渋谷の施設概要,ザ・ワンファイブ東京渋谷 - 宿泊予約は＜じゃらんnet＞,0.0,True,suspect,
124,stage-042-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,manual_verified,ザ・ワンファイブ東京渋谷の施設概要,ザ・ワンファイブ東京渋谷 - 宿泊予約は＜じゃらんnet＞,0.0,True,suspect,
127,stage-043-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,manual_verified,ザ・ワンファイブ東京渋谷の施設概要,ザ・ワンファイブ東京渋谷 - 宿泊予約は＜じゃらんnet＞,0.0,True,suspect,
130,stage-044-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,manual_verified,ザ・ワンファイブ東京渋谷の施設概要,ザ・ワンファイブ東京渋谷 - 宿泊予約は＜じゃらんnet＞,0.0,True,suspect,
150,stage-050-3,和光市東武ホテル,東京都,和光市,https://www.jalan.net/yad370584/,和光市東武ホテル,verified,和光市東武ホテルの施設概要,和光市東武ホテル - 宿泊予約は＜じゃらんnet＞,0.97,False,suspect,
153,stage-051-3,和光市東武ホテル,東京都,和光市,https://www.jalan.net/yad370584/,和光市東武ホテル,verified,和光市東武ホテルの施設概要,和光市東武ホテル - 宿泊予約は＜じゃらんnet＞,0.97,False,suspect,
191,stage-064-2,和光市東武ホテル,東京都,和光市,https://www.jalan.net/yad370584/,和光市東武ホテル,verified,和光市東武ホテルの施設概要,和光市東武ホテル - 宿泊予約は＜じゃらんnet＞,0.97,False,suspect,
192,stage-064-3,東横INN和光市駅前,東京都,和光市,https://www.jalan.net/yad329704/,東横ＩＮＮ和光市駅前,verified,東横ＩＮＮ和光市駅前の施設概要,東横ＩＮＮ和光市駅前 - 宿泊予約は＜じゃらんnet＞,0.97,False,suspect,
194,stage-065-2,ホテルミッドイン目黒駅前,東京都,目黒,https://www.jalan.net/yad351481/,ネストホテルオルト目黒駅前,rebranded_current_page,ネストホテルオルト目黒駅前の施設概要,ネストホテルオルト目黒駅前 - 宿泊予約は＜じゃらんnet＞,0.4667,True,suspect,
201,stage-067-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草・蔵前,https://www.jalan.net/yad357688/,KOKO HOTEL 浅草駒形,rebranded_current_page,KOKO HOTEL 浅草駒形の施設概要,KOKO HOTEL 浅草駒形 - 宿泊予約は＜じゃらんnet＞,0.1905,True,suspect,
204,stage-068-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草・蔵前,https://www.jalan.net/yad357688/,KOKO HOTEL 浅草駒形,rebranded_current_page,KOKO HOTEL 浅草駒形の施設概要,KOKO HOTEL 浅草駒形 - 宿泊予約は＜じゃらんnet＞,0.1905,True,suspect,
253,stage-085-1,メルキュール横須賀,神奈川県,汐入,https://www.jalan.net/yad364572/,メルキュールホテル横須賀,verified_fuzzy,メルキュールホテル横須賀の施設概要,メルキュールホテル横須賀 - 宿泊予約は＜じゃらんnet＞,0.6923,True,review_name,
256,stage-086-1,メルキュール横須賀,神奈川県,汐入,https://www.jalan.net/yad364572/,メルキュールホテル横須賀,verified_fuzzy,メルキュールホテル横須賀の施設概要,メルキュールホテル横須賀 - 宿泊予約は＜じゃらんnet＞,0.6923,True,review_name,
266,stage-089-2,ホテルリソル町田,神奈川県,町田,https://www.jalan.net/yad306138/,ホテルリソル町田,verified,ホテルリソル町田の施設概要,ホテルリソル町田 - 宿泊予約は＜じゃらんnet＞,0.97,False,suspect,
267,stage-089-3,レンブラントホテル東京町田,神奈川県,町田,https://www.jalan.net/yad344307/,レンブラントホテル東京町田,verified,レンブラントホテル東京町田の施設概要,レンブラントホテル東京町田 - 宿泊予約は＜じゃらんnet＞,0.97,False,suspect,
270,stage-090-3,ホテルウィングインターナショナル相模原,神奈川県,上溝,https://www.jalan.net/yad334192/,KOKO STAY 相模原,rebranded_current_page,KOKO STAY 相模原の施設概要,KOKO STAY 相模原 - 宿泊予約は＜じゃらんnet＞,0.1714,True,suspect,
272,stage-091-2,アイホテル橋本,神奈川県,橋本,https://www.jalan.net/yad367436/,アパホテル〈相模原橋本駅東〉,rebranded_current_page,アパホテル〈相模原橋本駅東〉の施設概要,アパホテル〈相模原橋本駅東〉 - 宿泊予約は＜じゃらんnet＞,0.5,True,suspect,
283,stage-095-1,日和ホテル舞浜,千葉県,舞浜・新浦安,https://www.jalan.net/yad339506/,日和(ひより)ホテル舞浜,verified_fuzzy,日和(ひより)ホテル舞浜の施設概要,日和(ひより)ホテル舞浜 - 宿泊予約は＜じゃらんnet＞,0.6364,True,review_name,
294,stage-098-3,新松戸ステーションホテル,千葉県,新松戸,https://www.jalan.net/yad323070/,アーバンホテル東京 新松戸,rebranded_current_page,アーバンホテル東京 新松戸の施設概要,アーバンホテル東京 新松戸 - 宿泊予約は＜じゃらんnet＞,0.3448,True,suspect,
306,stage-102-3,マイステイズ新浦安コンファレンスセンター,千葉県,新浦安,https://www.jalan.net/yad380068/,マイステイズ新浦安,verified,マイステイズ新浦安の施設概要,マイステイズ新浦安 - 宿泊予約は＜じゃらんnet＞,0.5294,True,suspect,
312,stage-104-3,X wave 船橋,千葉県,船橋,https://www.jalan.net/yad348715/,クロス・ウェーブ船橋,manual_verified,クロス・ウェーブ船橋の施設概要,クロス・ウェーブ船橋 - 宿泊予約は＜じゃらんnet＞,0.1905,True,suspect,
321,stage-107-3,浦和ワシントンホテル,埼玉県,浦和,https://www.jalan.net/yad397986/,浦和ワシントンホテル,manual_verified_web,,,0.0,False,fetch_failed,<HTTPError 404: 'Not Found'>
